iter	MultiClass
0	0.9444664548
1	0.9018297838
2	0.8808240068
3	0.8709270518
4	0.8625982114
5	0.8579223966
6	0.8511256288
7	0.8456040893
8	0.8429552584
9	0.838925186
10	0.8356171829
11	0.8338709146
12	0.8309950823
13	0.8296282817
14	0.8262970019
15	0.8232758023
16	0.8220147221
17	0.8199805687
18	0.8174223074
19	0.8167042972
20	0.8158245106
21	0.8137713811
22	0.812292835
23	0.8108377653
24	0.8103149402
25	0.8083235874
26	0.8065150583
27	0.8055818674
28	0.8046011364
29	0.8035858968
30	0.8026425253
31	0.8020129631
32	0.8000660773
33	0.7993780179
34	0.7986674853
35	0.7981072786
36	0.7974962665
37	0.7968553678
38	0.7955442427
39	0.7944993747
40	0.7938498993
41	0.7931978484
42	0.7923921462
43	0.7909964635
44	0.7904583023
45	0.7897934914
46	0.7894657366
47	0.7890043972
48	0.7885260218
49	0.787932955
50	0.7875138385
51	0.786967697
52	0.7866942399
53	0.7858296887
54	0.7851944429
55	0.784955266
56	0.7841005987
57	0.7837885761
58	0.7826600083
59	0.7820715995
60	0.7816562
61	0.7812111256
62	0.7808542163
63	0.780310474
64	0.7797513771
65	0.7787063389
66	0.7782871244
67	0.7776521725
68	0.7773281179
69	0.7767078026
70	0.7762236015
71	0.7758503154
72	0.7757381793
73	0.7753923641
74	0.7750712708
75	0.7744246282
76	0.7740384865
77	0.7728576068
78	0.7721738744
79	0.7718364638
80	0.7715922677
81	0.7713745118
82	0.7709862024
83	0.7706951442
84	0.7700975594
85	0.7696571149
86	0.7695279044
87	0.7686363912
88	0.7678737331
89	0.7675027787
90	0.7673042761
91	0.7672013037
92	0.7667917482
93	0.7665997802
94	0.7662471535
95	0.7660769826
96	0.7657653678
97	0.765577408
98	0.7653451776
99	0.7651155919
