iter	Passed	Remaining
0	796	78811
1	1348	66069
2	1995	64525
3	2520	60492
4	3060	58144
5	3529	55291
6	4086	54289
7	4672	53728
8	5124	51810
9	5629	50662
10	6140	49682
11	6611	48486
12	7227	48365
13	7681	47183
14	8204	46492
15	8724	45803
16	9278	45301
17	9916	45176
18	10407	44367
19	10862	43451
20	11299	42509
21	11813	41883
22	12376	41435
23	12864	40737
24	13285	39856
25	13796	39266
26	14502	39211
27	14974	38506
28	15464	37860
29	15976	37278
30	16440	36594
31	16906	35926
32	17597	35728
33	18053	35045
34	18545	34442
35	19040	33848
36	19509	33219
37	19973	32588
38	20557	32154
39	21146	31719
40	21679	31197
41	22196	30652
42	22798	30220
43	23351	29719
44	23952	29274
45	24555	28826
46	25000	28192
47	25465	27587
48	26012	27074
49	26543	26543
50	27029	25969
51	27477	25363
52	27932	24770
53	28602	24365
54	29191	23883
55	29659	23303
56	30292	22852
57	30734	22256
58	31352	21787
59	31860	21240
60	32326	20667
61	32849	20133
62	33296	19555
63	33852	19042
64	34409	18528
65	34939	17999
66	35445	17458
67	35955	16920
68	36434	16369
69	37012	15862
70	37522	15326
71	38002	14778
72	38428	14213
73	38960	13688
74	39489	13163
75	40067	12653
76	40653	12143
77	41277	11642
78	41939	11148
79	42386	10596
80	42871	10056
81	43395	9525
82	43912	8994
83	44375	8452
84	44923	7927
85	45389	7388
86	45830	6848
87	46393	6326
88	46982	5806
89	47626	5291
90	48074	4754
91	48522	4219
92	49030	3690
93	49542	3162
94	50231	2643
95	50686	2111
96	51256	1585
97	51741	1055
98	52261	527
99	52722	0
