iter	Passed	Remaining
0	0	55
1	0	44
2	1	44
3	1	40
4	2	39
5	2	37
6	2	35
7	2	33
8	3	33
9	3	32
10	3	31
11	4	31
12	4	30
13	4	30
14	5	29
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	24
31	11	23
32	11	23
33	13	26
34	14	26
35	15	27
36	16	27
37	16	27
38	16	26
39	17	25
40	17	25
41	18	24
42	18	24
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	24	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	29	11
72	30	11
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	37	0
99	38	0
